PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection	
Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_UV1_280nm		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Cond		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_pH		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Pressure		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Flow		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Inject		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Logbook	
min	 mAU	min	 mS/cm	min	 	min	 MPa	min	 ml/min	min	(Injections)	min	(Set Marks)
1.62	-0.205	2.025	86.951	4.05	5.75	2.025	0.3	2.025	4.72	         	            	         	            
1.627	-0.208	2.033	86.966	4.067	5.75	2.033	0.3	2.033	4.72	         	            	         	            
1.633	-0.21	2.042	86.966	4.083	5.75	2.042	0.3	2.042	4.72	         	            	         	            
1.64	-0.201	2.05	86.965	4.1	5.75	2.05	0.3	2.05	4.72	         	            	         	            
1.647	-0.201	2.058	86.965	4.117	5.75	2.058	0.3	2.058	4.72	         	            	         	            
1.653	-0.197	2.067	86.95	4.133	5.75	2.067	0.3	2.067	4.72	         	            	         	            
1.66	-0.197	2.075	86.95	4.15	5.75	2.075	0.3	2.075	4.72	         	            	         	            
1.667	-0.196	2.083	86.927	4.167	5.75	2.083	0.3	2.083	4.72	         	            	         	            
1.673	-0.205	2.092	86.927	4.183	5.75	2.092	0.3	2.092	4.72	         	            	         	            
1.68	-0.226	2.1	86.893	4.2	5.75	2.1	0.31	2.1	4.72	         	            	         	            
1.687	-0.245	2.108	86.893	4.217	5.75	2.108	0.31	2.108	4.72	         	            	         	            
1.693	-0.25	2.117	86.879	4.233	5.75	2.117	0.31	2.117	4.72	         	            	         	            
1.7	-0.247	2.125	86.879	4.25	5.75	2.125	0.31	2.125	4.72	         	            	         	            
1.707	-0.243	2.133	86.881	4.267	5.75	2.133	0.31	2.133	4.72	         	            	         	            
1.713	-0.235	2.142	86.881	4.283	5.75	2.142	0.3	2.142	4.72	         	            	         	            
1.72	-0.226	2.15	86.89	4.3	5.75	2.15	0.31	2.15	4.72	         	            	         	            
1.727	-0.216	2.158	86.89	4.317	5.75	2.158	0.31	2.158	4.72	         	            	         	            
1.733	-0.241	2.167	86.898	4.333	5.75	2.167	0.3	2.167	4.72	         	            	         	            
