Prod001 27APR2015:10_UV1_280nm	0	Prod001 27APR2015:10_Cond	0	Prod001 27APR2015:10_Conc	0	Prod001 27APR2015:10_Flow	0	Prod001 27APR2015:10_pH	0	Prod001 27APR2015:10_Temp	0	Prod001 27APR2015:10_Fractions	0	Prod001 27APR2015:10_Logbook	0
min	 mAU	min	 mS/cm	min	 %B	min	 ml/min	min	 	min	 C	min	(Fractions)	min	(Set Marks)
195.106	-0.844	208.8	89.927	208.8	0	208.8	67	208.8	3.79	208.8	24.3				
195.48	-0.932	209.2	89.883	209.2	0	209.2	67	209.2	3.9	209.2	24.3				
195.853	-0.951	209.6	87.237	209.6	0	209.6	67	209.6	5.35	209.6	24.3				
196.226	-0.99	210	101.604	210	0	210	67	210	12.33	210	24.3				
196.6	-1.038	210.4	165.823	210.4	0	210.4	67	210.4	12.48	210.4	24.3				
196.973	-1.06	210.8	184.86	210.8	0	210.8	67	210.8	12.52	210.8	24.3				
197.346	-1.023	211.2	189.097	211.2	0	211.2	67	211.2	12.56	211.2	24.3				
197.72	-1.043	211.6	190.182	211.6	0	211.6	67	211.6	12.58	211.6	24.3				
198.093	-1.029	212	190.592	212	0	212	67	212	12.59	212	24.4				
198.466	-1.05	212.4	190.733	212.4	0	212.4	67	212.4	12.6	212.4	24.4				
198.84	-1.08	212.8	190.831	212.8	0	212.8	67	212.8	12.6	212.8	24.4				
199.213	-0.574	213.2	190.825	213.2	0	213.2	67	213.2	12.6	213.2	24.4				
199.586	-0.568	213.6	190.881	213.6	0	213.6	67	213.6	12.62	213.6	24.4				
199.96	1.12	214	190.841	214	0	214	67	214	12.62	214	24.4				
200.333	0.959	214.4	190.775	214.4	0	214.4	67	214.4	12.62	214.4	24.4				
200.706	0.992	214.8	190.709	214.8	0	214.8	67	214.8	12.62	214.8	24.4				
201.08	0.957	215.2	190.636	215.2	0	215.2	67	215.2	12.62	215.2	24.4				
201.453	0.997	215.6	190.581	215.6	0	215.6	67	215.6	12.62	215.6	24.4				
201.826	-0.318	216	190.601	216	0	216	67	216	12.62	216	24.4				
202.2	-0.615	216.4	190.578	216.4	0	216.4	67	216.4	12.62	216.4	24.4				
202.573	-0.63	216.8	191.286	216.8	0	216.8	67	216.8	12.39	216.8	25.1				
202.946	-0.532	217.2	186.713	217.2	0	217.2	67	217.2	12.38	217.2	25.1				
203.32	-0.506	217.6	188.726	217.6	0	217.6	67	217.6	12.38	217.6	24.8				
203.693	-0.509	218	189.304	218	0	218	67	218	12.38	218	24.7				
204.066	-0.496	218.4	189.545	218.4	0	218.4	67	218.4	12.38	218.4	24.6				
204.44	-0.508	218.8	189.606	218.8	0	218.8	67	218.8	12.39	218.8	24.6				
204.813	-0.5	219.2	189.839	219.2	0	219.2	67	219.2	12.39	219.2	24.5				
205.186	-0.338	219.6	189.934	219.6	0	219.6	67	219.6	12.39	219.6	24.5				
205.56	0.187	220	189.925	220	0	220	67	220	12.4	220	24.5				
205.933	-0.14	220.4	189.96	220.4	0	220.4	67	220.4	12.4	220.4	24.5				
206.306	-0.118	220.8	189.946	220.8	0	220.8	67	220.8	12.4	220.8	24.5				
206.68	-0.086	221.2	190.026	221.2	0	221.2	67	221.2	12.4	221.2	24.4				
207.053	-0.086	221.6	190.211	221.6	0	221.6	67	221.6	12.4	221.6	24.4				
207.426	0.034	222	190.212	222	0	222	67	222	12.4	222	24.4				
207.8	0.087	222.4	190.203	222.4	0	222.4	67	222.4	12.4	222.4	24.4				
208.173	0.132	222.8	190.202	222.8	0	222.8	67	222.8	12.4	222.8	24.4				
208.546	0.126	223.2	190.219	223.2	0	223.2	67	223.2	12.4	223.2	24.4				
208.92	0.156	223.6	190.213	223.6	0	223.6	67	223.6	12.4	223.6	24.4				
209.293	0.279	224	190.287	224	0	224	67	224	12.4	224	24.4				
209.666	1.234	224.4	190.435	224.4	0	224.4	67	224.4	12.4	224.4	24.3				
210.04	3.578	224.8	192.407	224.8	0	224.8	100	224.8	12.41	224.8	24.3				
210.413	2.034	225.2	174.565	225.2	0	225.2	100	225.2	12.45	225.2	24.4				
210.786	1.176	225.6	103.287	225.6	0	225.6	100	225.6	12.59	225.6	24.4				
211.16	0.735	226	62.789	226	0	226	100	226	12.65	226	24.4				
211.533	0.493	226.4	42.378	226.4	0	226.4	100	226.4	12.67	226.4	24.4				
211.906	0.325	226.8	188.906	226.8	0	226.8	67	226.8	12.28	226.8	24.4				
212.28	0.255	227.2	189.648	227.2	0	227.2	67	227.2	12.34	227.2	24.4				
212.653	0.175	227.6	190.772	227.6	0	227.6	67	227.6	12.36	227.6	24.4				
213.026	0.169	228	191.113	228	0	228	67	228	12.38	228	24.4				
213.4	0.204	228.4	191.283	228.4	0	228.4	67	228.4	12.4	228.4	24.4				
213.773	0.179	228.8	191.416	228.8	0	228.8	67	228.8	12.4	228.8	24.4				
214.146	0.193	229.2	191.44	229.2	0	229.2	67	229.2	12.4	229.2	24.4				
214.52	0.194	229.6	191.482	229.6	0	229.6	67	229.6	12.4	229.6	24.4				
214.893	0.137	230	191.529	230	0	230	67	230	12.4	230	24.4				
215.266	0.152	230.4	191.565	230.4	0	230.4	67	230.4	12.4	230.4	24.4				
215.64	0.083	230.8	191.526	230.8	0	230.8	67	230.8	12.4	230.8	24.4				
216.013	0.118	231.2	191.462	231.2	0	231.2	67	231.2	12.4	231.2	24.4				
216.386	0.102	231.6	191.426	231.6	0	231.6	67	231.6	12.4	231.6	24.4				
216.76	0.337	232	191.385	232	0	232	67	232	12.4	232	24.4				
217.133	0.66	232.4	191.312	232.4	0	232.4	67	232.4	12.4	232.4	24.4				
217.506	0.85	232.8	191.235	232.8	0	232.8	67	232.8	12.4	232.8	24.4				
217.88	0.961	233.2	191.159	233.2	0	233.2	67	233.2	12.4	233.2	24.4				
218.253	1.105	233.6	189.271	233.6	0	233.6	67	233.6	12.4	233.6	24.4				
218.626	1.246	234	155.469	234	0	234	67	234	12.46	234	24.4				
219	1.345	234.4	96.231	234.4	0	234.4	67	234.4	12.57	234.4	24.4				
219.373	1.455	234.8	48.399	234.8	0	234.8	67	234.8	12.65	234.8	24.4				
219.746	1.433	235.2	25.928	235.2	0	235.2	67	235.2	12.64	235.2	24.4				
220.12	1.474	235.6	23.651	235.6	0	235.6	67	235.6	12.62	235.6	24.3				
220.493	1.525	236	22.685	236	0	236	67	236	12.6	236	24.3				
220.866	1.523	236.4	22.06	236.4	0	236.4	67	236.4	12.58	236.4	24.3				
221.24	1.588	236.8	21.669	236.8	0	236.8	67	236.8	12.57	236.8	24.3				
221.613	1.594	237.2	21.409	237.2	0	237.2	67	237.2	12.56	237.2	24.3				
221.986	1.612	237.6	21.246	237.6	0	237.6	67	237.6	12.56	237.6	24.3				
222.36	1.644	238	21.136	238	0	238	67	238	12.55	238	24.3				
222.733	1.687	238.4	21.046	238.4	0	238.4	67	238.4	12.55	238.4	24.3				
223.106	1.769	238.8	20.985	238.8	0	238.8	67	238.8	12.55	238.8	24.3				
223.48	1.85	239.2	20.939	239.2	0	239.2	67	239.2	12.54	239.2	24.3				
223.853	1.744	239.6	20.905	239.6	0	239.6	67	239.6	12.53	239.6	24.3				
224.226	1.476	240	20.881	240	0	240	67	240	12.53	240	24.3				
224.6	1.29	240.4	20.865	240.4	0	240.4	67	240.4	12.53	240.4	24.3				
224.973	1.153	240.8	20.843	240.8	0	240.8	67	240.8	12.53	240.8	24.3				
225.346	1.096	241.2	20.825	241.2	0	241.2	67	241.2	12.51	241.2	24.3				
225.72	0.641	241.6	20.804	241.6	0	241.6	67	241.6	12.51	241.6	24.3				
226.093	0.343	242	20.807	242	0	242	67	242	12.51	242	24.3				
226.466	0.188	242.4	20.799	242.4	0	242.4	67	242.4	12.51	242.4	24.3				
226.84	1.277	242.8	20.796	242.8	0	242.8	67	242.8	12.51	242.8	24.3				
227.213	1.355	243.2	20.789	243.2	0	243.2	67	243.2	12.49	243.2	24.3				
227.586	1.403	243.6	20.788	243.6	0	243.6	67	243.6	12.49	243.6	24.3				
227.96	1.375	244	20.778	244	0	244	67	244	12.49	244	24.3				
228.333	1.379	244.4	20.781	244.4	0	244.4	67	244.4	12.49	244.4	24.3				
228.706	1.41	244.8	20.782	244.8	0	244.8	67	244.8	12.49	244.8	24.3				
229.08	1.42	245.2	20.775	245.2	0	245.2	67	245.2	12.49	245.2	24.3				
229.453	1.455	245.6	20.77	245.6	0	245.6	67	245.6	12.48	245.6	24.3				
229.826	1.444	246	20.774	246	0	246	67	246	12.47	246	24.3				
230.2	1.395	246.4	20.769	246.4	0	246.4	67	246.4	12.47	246.4	24.3				
230.573	1.409	246.8	20.771	246.8	0	246.8	67	246.8	12.47	246.8	24.3				
230.946	1.413	247.2	20.77	247.2	0	247.2	67	247.2	12.46	247.2	24.3				
231.32	1.396	247.6	20.763	247.6	0	247.6	67	247.6	12.45	247.6	24.3				
231.693	1.396	248	20.761	248	0	248	67	248	12.45	248	24.3				
232.066	1.421	248.4	20.76	248.4	0	248.4	67	248.4	12.45	248.4	24.3				
232.44	1.414	248.8	20.759	248.8	0	248.8	67	248.8	12.45	248.8	24.3				
232.813	1.417	249.2	20.76	249.2	0	249.2	67	249.2	12.44	249.2	24.3				
233.186	1.453	249.6	20.761	249.6	0	249.6	67	249.6	12.44	249.6	24.3				
233.56	1.551														
233.933	2.475														
234.306	7.491														
234.68	8.875														
235.053	7.218														
235.426	2.725														
235.8	1.424														
236.173	0.971														
236.546	0.751														
236.92	0.642														
237.293	0.54														
237.666	0.508														
238.04	0.445														
238.413	0.4														
238.786	0.36														
239.16	0.352														
239.533	0.313														
239.906	0.297														
240.28	0.275														
240.653	0.268														
241.026	0.288														
241.4	0.255														
241.773	0.249														
242.146	0.228														
242.52	0.193														
242.893	0.219														
243.266	0.244														
243.64	0.261														
244.013	0.227														
244.386	0.217														
244.76	0.218														
245.133	0.225														
245.506	0.224														
245.88	0.239														
246.253	0.204														
246.626	0.165														
247	0.211														
247.373	0.196														
247.746	0.199														
248.12	0.199														
248.493	0.202														
248.866	0.193														
249.24	0.219														
249.613	0.181														
