Prod001 27APR2015:10_UV1_280nm	0	Prod001 27APR2015:10_Cond	0	Prod001 27APR2015:10_Conc	0	Prod001 27APR2015:10_Flow	0	Prod001 27APR2015:10_pH	0	Prod001 27APR2015:10_Temp	0	Prod001 27APR2015:10_Fractions	0	Prod001 27APR2015:10_Logbook	0
min	 mAU	min	 mS/cm	min	 %B	min	 ml/min	min	 	min	 C	min	(Fractions)	min	(Set Marks)
33.453	2.803	35.6	3.049	35.6	0	35.6	32.6	35.6	4.54	35.6	23.7			114.87	" ""Pause 5/1/2015, 12:28:26 PM"""
33.826	2.849	36	3.048	36	0	36	32.6	36	4.54	36	23.7			114.87	" ""Continue 5/1/2015, 12:31:13 PM (Manual)"""
34.2	2.943	36.4	3.046	36.4	0	36.4	32.6	36.4	4.54	36.4	23.7			114.87	" ""InletA InletA4 """
34.573	3.002	36.8	3.048	36.8	0	36.8	32.6	36.8	4.54	36.8	23.7			114.87	" ""InletB InletB1 """
34.946	3.101	37.2	3.047	37.2	0	37.2	32.6	37.2	4.54	37.2	23.7			114.87	" ""Gradient   100.00 %B,    8.400 CV"""
35.32	3.158	37.6	3.047	37.6	0	37.6	32.6	37.6	4.54	37.6	23.7			114.87	" ""InletB InletB1 """
35.693	3.22	38	3.047	38	0	38	32.6	38	4.54	38	23.7			114.87	" ""InletA InletA4 """
36.066	3.308	38.4	3.046	38.4	0	38.4	32.6	38.4	4.54	38.4	23.7			114.87	" ""Outlet OutletF2 """
36.44	3.368	38.8	3.045	38.8	0	38.8	32.6	38.8	4.54	38.8	23.7			114.89	" ""Start Elution Gradient"""
36.813	3.44	39.2	3.044	39.2	0	39.2	32.6	39.2	4.54	39.2	23.7			153.52	" ""FXN 1"""
37.186	3.494	39.6	3.045	39.6	0	39.6	32.6	39.6	4.54	39.6	23.7			155.008	" ""FXN 2"""
37.56	3.534	40	3.045	40	0	40	32.6	40	4.53	40	23.7			156.513	" ""FXN 3"""
37.933	3.624	40.4	3.046	40.4	0	40.4	32.6	40.4	4.52	40.4	23.7			169.413	" ""Stop Collect"""
38.306	3.651	40.8	3.045	40.8	0	40.8	32.6	40.8	4.52	40.8	23.7			181.927	" ""Next Breakpoint (Manual)"""
38.68	3.757	41.2	3.044	41.2	0	41.2	32.6	41.2	4.52	41.2	23.7			181.927	" ""End Block"""
39.053	3.798	41.6	3.045	41.6	0	41.6	32.6	41.6	4.52	41.6	23.7			181.927	" ""Block Strip_1MNaCl"""
39.426	3.833	42	3.044	42	0	42	32.6	42	4.52	42	23.7			181.927	" ""Base SameAsMain"""
39.8	3.895	42.4	3.045	42.4	0	42.4	32.6	42.4	4.52	42.4	23.7			181.927	" ""InletA Closed """
40.173	3.931	42.8	3.045	42.8	0	42.8	32.6	42.8	4.52	42.8	23.7			181.927	" ""InletB InletB2 """
40.546	4.037	43.2	3.045	43.2	0	43.2	32.6	43.2	4.52	43.2	23.7			181.927	" ""Columns Col1BypassCol2Bypass """
40.92	4.037	43.6	3.044	43.6	0	43.6	32.6	43.6	4.52	43.6	23.7			181.927	" ""Flow    100.0 ml/min"""
41.293	4.112	44	3.044	44	0	44	32.6	44	4.52	44	23.7			181.957	" ""Gradient 100%B set  1    """
41.666	4.141	44.4	3.044	44.4	0	44.4	32.6	44.4	4.52	44.4	23.7			184.027	" ""Flow     67.0 ml/min"""
42.04	4.202	44.8	3.044	44.8	0	44.8	32.6	44.8	4.52	44.8	23.7			184.027	" ""Columns Col1Bypass_Col2Down """
42.413	4.24	45.2	3.045	45.2	0	45.2	32.6	45.2	4.52	45.2	23.7			184.027	" ""Strip"""
42.786	4.325	45.6	3.044	45.6	0	45.6	32.6	45.6	4.52	45.6	23.7			199.49	" ""End Block"""
43.16	4.346	46	3.045	46	0	46	32.6	46	4.52	46	23.7			199.49	" ""Block Sanitization2_1N_NaOH"""
43.533	4.343	46.4	3.044	46.4	0	46.4	32.6	46.4	4.52	46.4	23.7			199.49	" ""Base SameAsMain"""
43.906	4.412	46.8	3.044	46.8	0	46.8	32.6	46.8	4.52	46.8	23.7			199.49	" ""InletB Closed """
