10		10		10		10		10		10		10	
SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_UV1_280nm		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Cond		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Conc		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_pH		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Flow		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Fractions		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Logbook	
min	 mAU	min	 mS/cm	min	 %B	min	 	min	 ml/min	min	(Fractions)	min	(Set Marks)
  11.840	   -8.558000	  11.167	  106.407000	  11.167	    0.000000	  11.167	    5.420000	  11.167	    6.430000	 306.397	 "C9"	   0.222	 "ColumnPosition Position2 "
  12.160	   -8.511000	  11.467	  106.435000	  11.467	    0.000000	  11.467	    5.420000	  11.467	    6.430000	 311.158	 "C10"	   0.222	 "Flow     6.43 ml/min"
  12.480	   -8.596000	  11.767	  106.486000	  11.767	    0.000000	  11.767	    5.420000	  11.767	    6.430000	 315.922	 "C11"	   0.222	 "Pre-Equil"
  12.800	   -8.603000	  12.067	  106.454000	  12.067	    0.000000	  12.067	    5.420000	  12.067	    2.930000	 320.683	 "C12"	  12.028	 "End Block"
  13.120	   -8.573000	  12.367	  106.486000	  12.367	    0.000000	  12.367	    5.420000	  12.367	    6.430000	 325.445	 "D1"	  12.028	 "Block Equil_20Acetate"
  13.440	   -8.542000	  12.667	  106.479000	  12.667	    0.000000	  12.667	    5.420000	  12.667	    6.430000	 330.208	 "D2"	  12.028	 "Base SameAsMain"
  13.760	   -8.486000	  12.967	  106.480000	  12.967	    0.000000	  12.967	    5.420000	  12.967	    6.430000	 334.970	 "D3"	  12.028	 "BufferValveA1 A11 "
  14.080	   -8.581000	  13.267	  106.529000	  13.267	    0.000000	  13.267	    5.420000	  13.267	    6.430000	 339.732	 "D4"	  12.028	 "Block DelayOp02min"
  14.400	   -8.584000	  13.567	  106.507000	  13.567	    0.000000	  13.567	    5.420000	  13.567	    6.430000	 344.493	 "D5"	  12.028	 "Base Time {min}"
  14.720	   -8.588000	  13.867	  106.550000	  13.867	    0.000000	  13.867	    5.420000	  13.867	    6.430000	 349.257	 "D6"	  12.048	 "End Block"
  15.040	   -8.570000	  14.167	  106.521000	  14.167	    0.000000	  14.167	    5.420000	  14.167	    6.430000	 354.018	 "D7"	  12.048	 "Equil"
  15.360	   -8.577000	  14.467	  106.513000	  14.467	    0.000000	  14.467	    5.420000	  14.467	    6.430000	 358.780	 "D8"	  33.570	 "AutoZeroUV "
  15.680	   -8.507000	  14.767	  106.515000	  14.767	    0.000000	  14.767	    5.410000	  14.767	    6.430000	 363.543	 "D9"	  35.525	 "End Block"
